version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,G34,baseline,v0+p384db7dc9e71+t6cdb53d5d7b8,384db7dc9e71d33ff6ddffbea896a1265fca6961a381be4bb2784d5b7a9ffd1b,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Record the untouched starter baseline,Measure the initial routing and argument behavior before optimization,case_accuracy,,0.7,runs/v0_B_base_openrouter_20260729T105641646925.json
v1,G34,artifacts/system_prompt.md,v1+paf3db05ee7ab+t6cdb53d5d7b8,af3db05ee7ab76c45903a47349f15f4333edebb7be1ce48b9b484e48885a6665,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Require clarification only when identifying information needed by a tool is missing,Preventing guessed handles and URLs should fix R10 and R11 without changing tool declarations,case_accuracy,0.7,0.9,runs/v1_B_base_openrouter_20260729T105823538203.json
v2,G34,artifacts/system_prompt.md,v2+p790697abcbc2+t6cdb53d5d7b8,790697abcbc23fba6534d56f4b1aad7ce3ddbd1860064a61ce8a897214c60a37,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Add a confirmation boundary before the external send action,Requiring clarify before send should replace the unsafe direct send in R12,case_accuracy,0.9,0.85,runs/v2_B_base_openrouter_20260729T105949344829.json
v3,G34,artifacts/system_prompt.md,v3+p00ea848d0902+t6cdb53d5d7b8,00ea848d09020e45771dc320b6895eec340c031e04100998f3ac7939244fc21b,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Define initial send requests and demonstrative content references for yes-no confirmation,Treating this digest as confirmable content should make R12 use clarify with response_type yes_no,R12_case_pass,0,1,runs/v3_B_base_openrouter_20260729T110138728492.json
v4,G34,artifacts/system_prompt.md,v4+p802a7ac2f88a+t6cdb53d5d7b8,802a7ac2f88a1c5ceef0d5fe194462d9517beda316edb182c55ef533ba52bd04,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Resolve named accounts and preserve the latest source across turns,A unified account and source carryover policy should fix R01 and M06 while preserving R13,case_accuracy,0.85,0.9,runs/v4_B_base_openrouter_20260729T111247552685.json
v5,G34,artifacts/system_prompt.md,v5+pa24b48c21a5b+t6cdb53d5d7b8,a24b48c21a5b3adc8c752880e0538907681498635009d1e9ec26041a2e210cac,6cdb53d5d7b8de80d60b298b1357f462cedbedfae261d5ba60b08ccc401687c5,Forbid empty social queries and make news wording deterministically select web lookup,Hard routing constraints should fix R10 and M02 without regressing the other base cases,case_accuracy,0.9,1.0,runs/v5_B_base_openrouter_20260729T111444186822.json
v6,G34,artifacts/tools.yaml,v6+pa24b48c21a5b+t2e82b6cb2f50,a24b48c21a5b3adc8c752880e0538907681498635009d1e9ec26041a2e210cac,2e82b6cb2f504da29c5b76f74a55e90b9dc7fb739934e3b4d2239328237d629c,Add the team-authored local keywords tool,The narrowly declared tool should add keyword extraction without changing base routing,case_accuracy,1.0,0.95,runs/v6_B_base_openrouter_20260729T112820303125.json
v7,G34,artifacts/tools.yaml,v7+pa24b48c21a5b+t3462a735d2aa,a24b48c21a5b3adc8c752880e0538907681498635009d1e9ec26041a2e210cac,3462a735d2aae20b733d0b17328057b0da3e26440a80f02d4d88ddb3ed81d437,Clarify yes-no semantics in the clarify tool declaration,An explicit send confirmation contract should fix the R12 argument regression,case_accuracy,0.95,1.0,runs/v7_B_base_openrouter_20260729T113011199577.json
v8,G34,artifacts/tools.yaml,v8+pa24b48c21a5b+tecf7656f13ed,a24b48c21a5b3adc8c752880e0538907681498635009d1e9ec26041a2e210cac,ecf7656f13ed1e8bd34bd2f17e5bec7b66d905c7ba75a02e59da77a1297d7e72,Require timeline account identity in its tool declaration,Removing any default account should fix the group missing-account case without base regression,group_case_accuracy,0.9,0.9,runs/v8_B_group_openrouter_20260729T113316427245.json
v9,G34,artifacts/system_prompt.md,v9+p5c7b7a015185+tecf7656f13ed,5c7b7a015185c5de6c9e6398e86981ec0d1458048e2170e0eb8df0b942100d49,ecf7656f13ed1e8bd34bd2f17e5bec7b66d905c7ba75a02e59da77a1297d7e72,Ground every screenname in account evidence from the conversation,Removing the example handle should prevent it from becoming an implicit default,base_case_accuracy,1.0,1.0,runs/v9_B_base_openrouter_20260729T113510968680.json
